perovskites_id,TMDs,BandGap
627,WTe2,0.246
665,WTe2,1.1552
678,WTe2,0.0074
688,WTe2,1.1164
689,WTe2,1.1213
744,WTe2,1.0846
800,WTe2,0.9498
804,WTe2,0.8637
805,WTe2,-0.0663
825,WTe2,0.1152
4,MoSSe,1.6883
15,MoSSe,1.6443
20,MoSSe,1.6456
56,MoSSe,1.685
73,MoSSe,1.631
80,MoSSe,0.9936
81,MoSSe,1.6652
82,MoSSe,1.6283
90,MoSSe,1.3037
96,MoSSe,1.5557
112,MoSSe,1.6314
113,MoSSe,1.6401
114,MoSSe,1.6231
115,MoSSe,1.631
116,MoSSe,1.6214
118,MoSSe,1.6358
130,MoSSe,1.3997
135,MoSSe,0.1678
142,MoSSe,-0.0001
143,MoSSe,1.3661
250,MoSSe,1.1716
264,MoSSe,-0.0557
303,MoSSe,0.5932
318,MoSSe,1.3931
327,MoSSe,1.1413
331,MoSSe,1.2546
349,MoSSe,-0.0813
400,MoSSe,-0.0252
411,MoSSe,1.5452
412,MoSSe,0.1407
415,MoSSe,-0.1156
422,MoSSe,1.5726
432,MoSSe,1.5534
435,MoSSe,1.1002
538,MoSSe,0.7985
546,MoSSe,1.1538
549,MoSSe,0.0136
555,MoSSe,1.5599
589,MoSSe,1.6294
594,MoSSe,1.3512
598,MoSSe,1.588
603,MoSSe,1.5127
604,MoSSe,1.5994
609,MoSSe,0.0421
659,MoSSe,0.1032
665,MoSSe,1.65
688,MoSSe,1.6379
689,MoSSe,1.649
703,MoSSe,-0.2448
740,MoSSe,1.6205
744,MoSSe,1.6136
748,MoSSe,0.021
758,MoSSe,1.6119
800,MoSSe,1.5094
804,MoSSe,1.5325
805,MoSSe,1.5468
841,MoSSe,1.6087
4,MoTeS,-0.01
20,MoTeS,0.1896
56,MoTeS,0.0005
73,MoTeS,-0.0098
80,MoTeS,1.1426
81,MoTeS,-0.033
82,MoTeS,0.0116
96,MoTeS,0.0121
112,MoTeS,0.0407
113,MoTeS,0.2045
114,MoTeS,-0.021
115,MoTeS,0.0521
116,MoTeS,1.2431
118,MoTeS,0.0035
130,MoTeS,0.0268
135,MoTeS,-0.0154
142,MoTeS,-0.0022
143,MoTeS,0.0817
250,MoTeS,1.207
264,MoTeS,-0.0495
303,MoTeS,0.9837
318,MoTeS,0.0317
327,MoTeS,0.0004
331,MoTeS,-0.0129
349,MoTeS,-0.0213
353,MoTeS,-0.353
366,MoTeS,-0.0202
400,MoTeS,-0.0975
411,MoTeS,0.0005
412,MoTeS,-0.0091
415,MoTeS,-0.1085
422,MoTeS,0.0847
435,MoTeS,-0.0016
538,MoTeS,-0.0251
546,MoTeS,-0.0088
598,MoTeS,1.2307
609,MoTeS,0.0598
804,MoTeS,1.2448
805,MoTeS,1.1569
353,MoTeSe,-0.1256
327,MoTeSe,1.0162
659,MoTeSe,-0.072
825,MoTeSe,1.2648
598,MoTeSe,1.1136
110,MoTeSe,1.1734
688,MoTeSe,1.2624
603,MoTeSe,1.2635
73,MoTeSe,1.2278
138,MoTeSe,-0.0653
250,MoTeSe,1.0464
533,MoTeSe,1.0407
530,MoTeSe,0.0032
689,MoTeSe,1.2573
665,MoTeSe,1.2976
561,MoTeSe,0.0268
592,MoTeSe,1.2338
331,MoTeSe,1.2473
627,MoTeSe,0.1309
47,MoTeSe,-0.0085
435,MoTeSe,0.3691
744,MoTeSe,1.2149
20,MoTeSe,0.984
23,MoTeSe,-0.0002
15,MoTeSe,1.2668
597,MoTeSe,0.244
50,MoTeSe,0.0082
326,MoTeSe,-0.0395
135,MoTeSe,0.6605
81,MoTeSe,1.2242
548,MoTeSe,-0.0012
318,MoTeSe,1.1846
4,WSSe,1.7678
15,WSSe,1.722
20,WSSe,1.4293
56,WSSe,1.7641
73,WSSe,1.71
80,WSSe,1.3178
81,WSSe,1.6383
82,WSSe,1.5878
90,WSSe,1.6254
96,WSSe,1.751
112,WSSe,1.7123
113,WSSe,1.7198
114,WSSe,1.7169
115,WSSe,1.7115
116,WSSe,1.7014
118,WSSe,1.7252
130,WSSe,1.6921
135,WSSe,0.5053
142,WSSe,-0.0029
143,WSSe,1.6838
250,WSSe,1.4655
264,WSSe,-0.067
303,WSSe,0.8857
318,WSSe,1.6948
327,WSSe,1.1753
331,WSSe,1.4435
349,WSSe,-0.0074
400,WSSe,0.014
411,WSSe,1.6813
412,WSSe,1.0662
415,WSSe,-0.1276
422,WSSe,1.7675
435,WSSe,0.9587
538,WSSe,1.1219
546,WSSe,1.5608
549,WSSe,0.0069
555,WSSe,1.3365
589,WSSe,1.4386
594,WSSe,1.6319
598,WSSe,1.6739
604,WSSe,1.598
609,WSSe,0.0627
659,WSSe,0.508
665,WSSe,1.7587
688,WSSe,1.7232
689,WSSe,1.7256
703,WSSe,-0.0998
740,WSSe,1.705
744,WSSe,1.6811
748,WSSe,0.2606
758,WSSe,1.4997
800,WSSe,1.689
804,WSSe,1.6833
805,WSSe,1.6465
837,WSSe,-0.0649
841,WSSe,1.7653
4,WSTe,1.4129
15,WSTe,1.303
20,WSTe,0.8408
47,WSTe,-0.0144
56,WSTe,1.3994
73,WSTe,0.404
80,WSTe,1.3324
81,WSTe,1.0327
82,WSTe,1.1379
90,WSTe,1.3635
96,WSTe,1.426
112,WSTe,0.6423
113,WSTe,1.4379
114,WSTe,0.618
115,WSTe,1.4426
116,WSTe,1.4591
118,WSTe,1.4302
130,WSTe,1.1744
142,WSTe,-0.0043
143,WSTe,1.4444
303,WSTe,1.2273
327,WSTe,0.8988
331,WSTe,1.1767
400,WSTe,-0.0245
411,WSTe,1.2334
415,WSTe,-0.1622
422,WSTe,1.3849
435,WSTe,0.3621
538,WSTe,1.376
546,WSTe,1.4102
555,WSTe,0.8613
589,WSTe,0.8714
603,WSTe,1.3416
604,WSTe,1.1868
609,WSTe,0.1045
659,WSTe,1.285
665,WSTe,1.0931
688,WSTe,1.3017
689,WSTe,1.3233
703,WSTe,-0.0562
740,WSTe,1.4583
744,WSTe,1.1848
748,WSTe,0.4112
800,WSTe,1.4501
804,WSTe,1.4557
805,WSTe,0.4947
837,WSTe,-0.1174
327,WSeTe,0.801
349,WSeTe,-0.0151
411,WSeTe,1.1691
114,WSeTe,1.3307
118,WSeTe,1.3406
113,WSeTe,1.3434
800,WSeTe,1.1443
549,WSeTe,0.0016
15,WSeTe,1.3459
80,WSeTe,1.3924
805,WSeTe,0.9093
688,WSeTe,1.3574
73,WSeTe,1.356
546,WSeTe,1.3366
116,WSeTe,1.3392
689,WSeTe,1.3709
665,WSeTe,1.3338
96,WSeTe,1.372
142,WSeTe,0.0026
594,WSeTe,1.3208
112,WSeTe,1.3395
538,WSeTe,0.0018
422,WSeTe,1.2253
130,WSeTe,1.1771
331,WSeTe,1.0763
604,WSeTe,1.2949
435,WSeTe,0.4373
804,WSeTe,1.1811
20,WSeTe,0.9669
90,WSeTe,1.3756
4,WSeTe,1.231
412,WSeTe,0.9995
603,WSeTe,1.3112
740,WSeTe,1.3265
415,WSeTe,-0.1665
143,WSeTe,1.3474
748,WSeTe,1.1391
115,WSeTe,1.332
81,WSeTe,1.1663
303,WSeTe,0.8439
82,WSeTe,1.2285
318,WSeTe,1.2094
555,WSeTe,0.4811
